"","df_m.full_address","df.town","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"7569","684D, CHOA CHU KANG CRESCENT, CHOA CHU KANG, SINGAPORE","CHOA CHU KANG","684D, CHOA CHU KANG CRESCENT, CHOA CHU KANG, SINGAPORE",1.3997807,103.7506033,1.399742,1.3999121,103.7504127,103.7507522
"7570","366, CLEMENTI AVENUE 2, CLEMENTI, SINGAPORE","CLEMENTI","366, CLEMENTI AVENUE 2, CLEMENTI, SINGAPORE",1.31252755,103.771790714065,1.3124314,1.3126122,103.7715985,103.7719825
"7571","268A, BOON LAY DRIVE, JURONG WEST, SINGAPORE","JURONG WEST","268A, BOON LAY DRIVE, JURONG WEST, SINGAPORE",1.34810425,103.707435087041,1.3478943,1.3483167,103.7073383,103.7076972
"7572","274D, JURONG WEST AVENUE 3, JURONG WEST, SINGAPORE","JURONG WEST","274D, JURONG WEST AVENUE 3, JURONG WEST, SINGAPORE",1.35227075,103.704231729742,1.3520502,1.3525008,103.7040856,103.7047083
"7573","657A, JURONG WEST STREET 65, JURONG WEST, SINGAPORE","JURONG WEST","657A, JURONG WEST STREET 65, JURONG WEST, SINGAPORE",1.3404394,103.7009537,1.3404394,1.3405415,103.7009384,103.7009537
"7574","674A, JURONG WEST STREET 65, JURONG WEST, SINGAPORE","JURONG WEST","674A, JURONG WEST STREET 65, JURONG WEST, SINGAPORE",1.3404394,103.7009537,1.3404394,1.3405415,103.7009384,103.7009537
"7575","196D, PUNGGOL FIELD, PUNGGOL, SINGAPORE","PUNGGOL","196D, PUNGGOL FIELD, PUNGGOL, SINGAPORE",1.3976168,103.9079055,1.3971647,1.3976168,103.9079055,103.9084619
"7576","468B, ADMIRALTY DRIVE, SEMBAWANG, SINGAPORE","SEMBAWANG","468B, ADMIRALTY DRIVE, SEMBAWANG, SINGAPORE",1.4500965,103.81423175,1.4499544,1.4503297,103.814036,103.8144168
"7577","354A, ADMIRALTY DRIVE, SEMBAWANG, SINGAPORE","SEMBAWANG","354A, ADMIRALTY DRIVE, SEMBAWANG, SINGAPORE",1.4519397,103.8202352,1.4519397,1.4519949,103.8202352,103.8203346
"7578","507C, WELLINGTON CIRCLE, SEMBAWANG, SINGAPORE","SEMBAWANG","507C, WELLINGTON CIRCLE, SEMBAWANG, SINGAPORE",1.4522063,103.8206428,1.4521765,1.4522063,103.8205692,103.8206868
"7579","301D, ANCHORVALE DRIVE, SENGKANG, SINGAPORE","SENGKANG","301D, ANCHORVALE DRIVE, SENGKANG, SINGAPORE",1.3884631,103.891306965632,1.3883123,1.3886079,103.8912238,103.8917049
"7580","319B, ANCHORVALE DRIVE, SENGKANG, SINGAPORE","SENGKANG","319B, ANCHORVALE DRIVE, SENGKANG, SINGAPORE",1.3895002,103.8921883,1.3894794,1.3895702,103.8919711,103.8922529
"7581","322C, ANCHORVALE DRIVE, SENGKANG, SINGAPORE","SENGKANG","322C, ANCHORVALE DRIVE, SENGKANG, SINGAPORE",1.3895002,103.8921883,1.3894794,1.3895702,103.8919711,103.8922529
"7582","304B, ANCHORVALE LINK, SENGKANG, SINGAPORE","SENGKANG","304B, ANCHORVALE LINK, SENGKANG, SINGAPORE",1.38855045,103.889423125429,1.388387,1.3887173,103.8889319,103.8895549
"7583","296A, COMPASSVALE CRESCENT, SENGKANG, SINGAPORE","SENGKANG","296A, COMPASSVALE CRESCENT, SENGKANG, SINGAPORE",1.397024,103.8967146,1.3968483,1.3972377,103.8966389,103.8969228
"7584","183D, RIVERVALE CRESCENT, SENGKANG, SINGAPORE","SENGKANG","183D, RIVERVALE CRESCENT, SENGKANG, SINGAPORE",1.388552,103.9078755,1.388552,1.3885895,103.9077357,103.9078755
